46.174.52.26,27276,ctf_2fort,1,2025-04-05-09:40:25,RU,1
46.174.50.33,27218,cp_orange_z7,1,2025-04-05-09:40:26,RU,1
146.59.52.20,27025,pl_swiftwater_final1,14,2025-04-05-09:40:26,PL,1
31.186.81.147,27015,cp_orange_x5,1,2025-04-05-09:40:26,PL,1
146.59.52.20,27045,pl_badwater,1,2025-04-05-09:40:27,PL,1
178.32.206.219,37685,koth_brazil,19,2025-04-05-09:40:27,PL,1
178.32.206.219,30281,koth_brazil,12,2025-04-05-09:40:27,PL,1
178.32.206.219,37885,cp_foundry,14,2025-04-05-09:40:28,PL,1
178.32.206.219,30601,ctf_hellfire,8,2025-04-05-09:40:28,PL,1
89.163.148.193,27039,cp_dustbowl,1,2025-04-05-09:40:28,DE,1
89.163.148.193,27029,ctf_turbine,2,2025-04-05-09:40:29,DE,1
89.163.148.193,27018,plr_pipeline,2,2025-04-05-09:40:29,DE,1
89.163.148.193,27016,ctf_2fort,1,2025-04-05-09:40:29,DE,1
89.163.148.193,27048,ctf_doublecross,4,2025-04-05-09:40:30,DE,1
89.163.148.193,27032,pl_badwater,3,2025-04-05-09:40:30,DE,1
176.9.123.229,27026,ctf_2fort,2,2025-04-05-09:40:30,DE,1
176.9.123.229,27018,idle_sniper_war_v7,2,2025-04-05-09:40:30,DE,1
176.9.123.229,27015,surf_utopia_v3,1,2025-04-05-09:40:31,DE,1
176.9.123.229,27021,plr_hightower,1,2025-04-05-09:40:31,DE,1
176.9.123.229,27029,vsh_distillery,1,2025-04-05-09:40:31,DE,1
176.9.123.229,27030,achievement_engineer,3,2025-04-05-09:40:32,DE,1
176.9.123.229,27023,mge_training_v8_beta4b,1,2025-04-05-09:40:32,DE,1
176.9.123.229,27025,minecraftworld_fix_v16,2,2025-04-05-09:40:32,DE,1
34.90.227.6,27016,jump_jurf_a2,1,2025-04-05-09:40:33,NL,1
185.107.97.10,27015,jump_academy2_rc9a,2,2025-04-05-09:40:34,DE,1
185.107.97.11,27015,jump_academy2_rc9a,1,2025-04-05-09:40:34,DE,1
185.211.51.37,27180,bhop_mountains,1,2025-04-05-09:40:34,NL,1
185.211.51.29,27140,achievement_idle_awesomeboxo31,4,2025-04-05-09:40:35,NL,1
185.211.51.39,27190,plr_highertwintower,2,2025-04-05-09:40:35,NL,1
185.107.97.12,27015,jump_cube_b6,4,2025-04-05-09:40:35,DE,1
185.211.51.9,27040,cp_orange_x3_uublw_fix,1,2025-04-05-09:40:36,NL,1
185.107.97.9,27015,jump_academy2_rc9a,3,2025-04-05-09:40:36,DE,1
135.125.189.212,27015,jump_airships_v2,2,2025-04-05-09:40:36,DE,1
178.33.39.169,27438,cp_mountainlab,13,2025-04-05-09:40:37,DE,1
92.222.235.131,20894,koth_badlands,11,2025-04-05-09:40:37,FR,1
92.222.235.131,35612,ctf_thundermountain,17,2025-04-05-09:40:37,FR,1
178.33.39.169,39231,pl_barnblitz,24,2025-04-05-09:40:37,DE,1
92.222.235.131,31650,tc_hydro,8,2025-04-05-09:40:38,FR,1
178.33.39.169,28614,cp_gorge,16,2025-04-05-09:40:38,DE,1
92.222.235.131,26944,pl_hasslecastle,13,2025-04-05-09:40:38,FR,1
178.33.39.169,39385,cp_fastlane,17,2025-04-05-09:40:38,DE,1
188.165.244.220,27065,pl_goldrush,1,2025-04-05-09:40:39,FR,1
91.134.218.181,22642,koth_sawmill,3,2025-04-05-09:40:39,BE,1
5.196.29.250,27015,achievement_engineer_day_fix3,5,2025-04-05-09:40:39,FR,1
164.132.201.109,27018,pl_goldrush,30,2025-04-05-09:40:40,FR,1
91.121.209.48,27051,mvm_ma_ep1_3_v4,4,2025-04-05-09:40:40,FR,1
178.33.116.130,20777,cp_foundry,5,2025-04-05-09:40:40,FR,1
188.165.6.153,28344,pl_bloodwater,19,2025-04-05-09:40:41,FR,1
178.32.46.89,39687,ctf_turbine,19,2025-04-05-09:40:41,BE,1
94.23.68.241,29142,koth_highpass,13,2025-04-05-09:40:41,FR,1
213.32.108.79,24692,koth_nucleus,12,2025-04-05-09:40:41,NL,1
51.68.236.45,23790,koth_viaduct,12,2025-04-05-09:40:42,FR,1
188.165.6.153,37144,ctf_foundry,8,2025-04-05-09:40:42,FR,1
54.37.178.201,33186,koth_badlands,18,2025-04-05-09:40:42,PT,1
188.165.27.233,37439,koth_badlands,26,2025-04-05-09:40:43,FR,1
94.23.68.241,23461,plr_hightower,15,2025-04-05-09:40:43,FR,1
54.36.45.248,20687,plr_hightower,17,2025-04-05-09:40:43,ES,1
91.134.218.181,21646,koth_badlands,7,2025-04-05-09:40:43,BE,1
213.32.108.79,24738,cp_steel,7,2025-04-05-09:40:44,NL,1
54.36.45.248,36774,pl_thundermountain,9,2025-04-05-09:40:44,ES,1
94.23.68.241,21018,pl_goldrush,16,2025-04-05-09:40:44,FR,1
51.68.236.45,27955,ctf_hellfire,10,2025-04-05-09:40:45,FR,1
188.165.184.118,39562,cp_fastlane,17,2025-04-05-09:40:45,FR,1
188.165.184.118,30589,ctf_thundermountain,9,2025-04-05-09:40:45,FR,1
188.165.27.233,35906,pl_bloodwater,16,2025-04-05-09:40:45,FR,1
54.36.45.248,34924,koth_slasher,22,2025-04-05-09:40:46,ES,1
94.23.173.248,21666,cp_foundry,19,2025-04-05-09:40:46,CZ,1
51.68.236.45,28630,pl_cactuscanyon,8,2025-04-05-09:40:46,FR,1
178.32.46.89,35633,koth_highpass,14,2025-04-05-09:40:46,BE,1
91.134.218.181,36766,cp_mountainlab,16,2025-04-05-09:40:47,BE,1
178.33.116.130,21291,koth_highpass,15,2025-04-05-09:40:47,FR,1
94.23.173.248,20877,pl_cactuscanyon,11,2025-04-05-09:40:47,CZ,1
178.32.46.89,27929,koth_viaduct,19,2025-04-05-09:40:47,BE,1
213.32.108.79,25004,ctf_landfall,9,2025-04-05-09:40:48,NL,1
54.37.178.201,23321,tc_hydro,16,2025-04-05-09:40:48,PT,1
188.165.27.233,33849,pl_upward,10,2025-04-05-09:40:49,FR,1
178.33.116.130,31261,koth_suijin,19,2025-04-05-09:40:49,FR,1
94.23.173.248,26308,cp_granary,17,2025-04-05-09:40:49,CZ,1
51.68.236.45,35916,plr_bananabay,1,2025-04-05-09:40:50,FR,1
54.36.45.248,27291,cp_vanguard,11,2025-04-05-09:40:50,ES,1
54.37.178.201,35131,cp_mossrock,19,2025-04-05-09:40:50,PT,1
178.32.46.89,23103,cp_steel,14,2025-04-05-09:40:50,BE,1
188.165.184.118,39023,pl_borneo,20,2025-04-05-09:40:51,FR,1
94.23.68.241,27856,koth_brazil,10,2025-04-05-09:40:51,FR,1
213.32.108.79,26036,pl_cactuscanyon,21,2025-04-05-09:40:51,NL,1
188.165.184.118,37257,ctf_sawmill,22,2025-04-05-09:40:52,FR,1
188.165.6.153,32677,koth_king,26,2025-04-05-09:40:52,FR,1
188.165.27.233,24462,pl_cactuscanyon,20,2025-04-05-09:40:52,FR,1
54.37.178.201,27746,pl_bloodwater,19,2025-04-05-09:40:52,PT,1
94.23.173.248,29723,cp_foundry,19,2025-04-05-09:40:53,CZ,1
178.33.116.130,31209,tc_hydro,15,2025-04-05-09:40:53,FR,1
91.134.218.181,34284,pl_bloodwater,11,2025-04-05-09:40:53,BE,1
193.221.192.38,27015,trade_rawr_v2_2,1,2025-04-05-09:40:54,GB,1
193.221.192.34,27015,plr_highertower,2,2025-04-05-09:40:54,GB,1
193.221.192.11,27015,cp_degrootkeep,3,2025-04-05-09:40:54,GB,1
91.216.250.232,27015,ze_otakuroom_skial_4,1,2025-04-05-09:40:54,GB,1
193.221.192.13,27015,trade_plaza_2,22,2025-04-05-09:40:54,GB,1
91.216.250.227,27015,ctf_2fort,2,2025-04-05-09:40:55,GB,1
193.221.192.29,27015,ctf_2fort,18,2025-04-05-09:40:55,GB,1
91.216.250.224,27015,cp_dustbowl,3,2025-04-05-09:40:55,GB,1
193.221.192.42,27015,achievement_apg_r16c,8,2025-04-05-09:40:56,GB,1
193.221.192.44,27015,plr_hightower,6,2025-04-05-09:40:56,GB,1
193.221.192.41,27015,trade_minecraft_realms_v2,10,2025-04-05-09:40:56,GB,1
193.221.192.12,27015,plr_highertower,2,2025-04-05-09:40:56,GB,1
178.32.48.53,30008,pl_pier,10,2025-04-05-09:40:57,GB,1
193.221.192.15,27015,plr_highertower,4,2025-04-05-09:40:57,GB,1
91.216.250.228,27015,dr_valve_hq_ct_final2,7,2025-04-05-09:40:57,GB,1
31.186.250.115,27015,jump_recall,1,2025-04-05-09:40:57,GB,1
178.32.48.53,25861,koth_highpass,9,2025-04-05-09:40:58,GB,1
193.221.192.33,27015,plr_highertower,3,2025-04-05-09:40:58,GB,1
193.221.192.31,27015,trade_plaza_2,13,2025-04-05-09:40:58,GB,1
91.216.250.230,27015,trade_aperturelabr2,1,2025-04-05-09:40:59,GB,1
193.221.192.37,27015,trade_portal2_v4_ugc_v8,9,2025-04-05-09:40:59,GB,1
193.221.192.32,27015,trade_minecraft_neon_v197,13,2025-04-05-09:40:59,GB,1
193.221.192.14,27015,ctf_2fort,2,2025-04-05-09:40:59,GB,1
91.216.250.229,27015,ctf_2fort,1,2025-04-05-09:41:00,GB,1
178.32.48.53,29514,pl_bloodwater,13,2025-04-05-09:41:00,GB,1
193.221.192.47,27015,trade_minecraft_realms_ff1,1,2025-04-05-09:41:00,GB,1
178.32.48.53,24923,koth_king,25,2025-04-05-09:41:01,GB,1
109.248.250.217,42225,cp_orange_project_v5a,10,2025-04-05-09:41:01,RU,1
109.248.250.217,43335,jump_academy2_rc9a,3,2025-04-05-09:41:01,RU,1
109.248.250.217,42315,jump_academy_classic_b,5,2025-04-05-09:41:02,RU,1
109.248.250.217,27025,cp_process_final,11,2025-04-05-09:41:02,RU,1
85.117.240.71,27040,koth_highertower,2,2025-04-05-09:41:02,US,1
114.55.64.188,27015,jump_pump,1,2025-04-05-09:41:03,CN,1
91.216.250.15,27015,ze_uchiha_legacy_skial_8,14,2025-04-05-09:41:03,US,1
8.222.137.7,27015,jump_nefarious_final,5,2025-04-05-09:41:04,SG,1
121.127.47.33,22506,jump_facility,1,2025-04-05-09:41:05,AU,1
124.221.140.4,27015,cp_5gorge,1,2025-04-05-09:41:06,CN,1
39.115.43.184,27025,slender_forgotten_tomb_b2c,2,2025-04-05-09:41:06,KR,1
175.193.243.85,27025,jump_moo,3,2025-04-05-09:41:07,KR,1
1.13.15.176,27015,cp_sulfur,10,2025-04-05-09:41:08,CN,1
39.174.71.147,11206,mvm_airdrop_rc3_advanced,15,2025-04-05-09:41:09,CN,1
91.216.250.161,27015,ctf_2fort,21,2025-04-05-09:41:09,HK,1
91.216.250.160,27015,ctf_2fort,20,2025-04-05-09:41:09,HK,1
125.229.63.144,27010,achi_apg_whitey_v6a,2,2025-04-05-09:41:10,TW,1
139.180.213.150,27015,achievement_engineer_day_fix3,9,2025-04-05-09:41:11,SG,1
139.99.62.187,27120,mge_training_v8_beta4b,6,2025-04-05-09:41:12,CA,1
139.99.62.187,27085,trade_plaza_ap_b2,1,2025-04-05-09:41:12,CA,1
118.189.202.252,26015,jump_academy2_rc9a,4,2025-04-05-09:41:13,SG,1
139.99.62.187,27005,tf2ware_ultimate,1,2025-04-05-09:41:14,CA,1
139.99.62.187,27040,szf_mercy_hospital_e11,1,2025-04-05-09:41:15,CA,1
139.99.124.126,27100,mvm_nightfallnexus_b38,8,2025-04-05-09:41:17,SG,1
139.99.124.126,27104,mvm_nightfallnexus_b38,1,2025-04-05-09:41:18,SG,1
139.99.62.187,27050,cp_orange_50f_tower_v7,5,2025-04-05-09:41:18,CA,1
185.211.51.200,27340,jump_4starters_rebuilt,3,2025-04-05-09:41:20,NL,1
91.216.250.193,27015,ctf_2fort,26,2025-04-05-09:41:20,AU,1
139.99.144.126,37015,achievement_idle_awesomebox_cit,9,2025-04-05-09:41:21,AU,1
103.1.213.249,27500,pl_borneo,1,2025-04-05-09:41:22,AU,1
103.62.51.134,27550,plr_hightower,8,2025-04-05-09:41:23,AU,1
51.161.153.190,27015,ctf_doublecross,23,2025-04-05-09:41:24,AU,1
103.212.224.85,27025,koth_highpass,3,2025-04-05-09:41:24,AU,1
103.1.213.78,27500,pl_chilly,7,2025-04-05-09:41:25,AU,1
